,57607 	,National Certificate: 3D Animation and Visual Effects ,	5
,57611 	,National Certificate: 2D Animation ,	5
,14113 	,National Certificate: Food and Beverage Services, 	4
,20159	,National Diploma: ABET Practice ,	5
,21787	,National Certificate: Funeral Services Practice ,	3
,23775 	,National Certificate: Funeral Services Practice	,4
,23833 	,National Certificate: Business Administration Services,	2
,24173 	,National Certificate: Construction: Roadworks ,	3
,24273 	,National Certificate: Community House Building ,	2
,36438 	,National Certificate: Local Economic Development	,5
,48573 	,National Certificate: Information Technology: Systems Support, 	5
,48671 	,National Certificate: Music Industry: Sound Technology 	,5
,48872	,National Certificate: Information Technology (Systems Development) 	,5
,48891 	,National Certificate: Theology and Ministry 	,2
,48971 	,National Certificate: Mixed Farming Systems 	,1
,48972 	,National Certificate: Plant Production 	,1
,48976 	,National Certificate: Animal Production 	,2
,48977	,National Certificate: Mixed Farming Systems	,2
,48979 	,National Certificate: Animal Production 	,4
,49009 	,National Certificate: Plant Production 	,4
,49052 	,National Certificate: Plant Production ,	3
,49089 	,National Certificate: Financial Services	,3
,49257 	,National Certificate: Conflict Management and Transformation ,	5
,49552	,General Education and Training Certificate: Environmental Practice 	,1
,49554 	,National Diploma: Public Finance Management and Administration 	,5
,49555 	,National Certificate: Operation of Mobile Explosives Manufacturing Units ,	3
,49582 	,National Certificate: Poultry Production ,	2
,49648 	,National Certificate: New Venture Creation (SMME), 	2
,49668 	,General Education and Training Certificate: Horticulture ,	1
,50205 	,National Certificate: Municipal Integrated Development Planning ,	5
,50309 	,Further Education and Training Certificate: Environmental Practice	,4
,50334	,National Certificate: Occupationally Directed Education Training and Development Practices	,5
,50372	,Further Education and Training Certificate: Municipal Finance and Administration 	,4
,50479 	,Further Education and Training Certificate: Advertising	,4
,57428 	,Further Education and Training Certificate: Youth Development	,4
,57712 	,Further Education and Training Certificate: Generic Management 	,4
,57823 	,National Certificate: Ward Committee Governance 	,2
,57824 	,Further Education and Training Certificate: Public Administration ,	4
,58394 	,National Certificate: Film and Television Production 	,5
,58578 	,National Certificate: Local Government Councillor Practices 	,3
,58761 	,Further Education and Training Certificate: Early Childhood Development ,	4
,59201 	,National Certificate: Generic Management 	,5
,60169 	,National Certificate: Water and Wastewater Reticulation Services ,	2
,61591 	,National Certificate: Information Technology: End User Computing ,	3
,61595 	,Further Education and Training Certificate: Business Administration Services 	,4
,63669 	,Further Education and Training Certificate: Fitness 	,4
,64069 	,Further Education and Training Certificate: Archives and Records Management ,	4
,64650 	,National Diploma: Early Childhood Development ,	5
,65409 	,National Certificate: Building and Civil Construction 	,3
,65859 	,Further Education and Training Certificate: International Tourism ,	4
,66189 	,National Certificate: Quality Management Systems ,	5
,66249 	,Further Education and Training Certificate: New Venture Creation 	,4
,66589 	,National Certificate: Horticulture 	,2
,67465 	,National Certificate: Business Administration Services 	,3
,67467 	,National Certificate: Municipal Governance ,	5
,67509	,Further Education and Training Certificate: Community Development	,4
,71489	,Further Education and Training Certificate: Contact Centre Operations 	,4
,71549 	,Further Education and Training Certificate: Tourist Guiding 	,4
,72502 	,Master of Technology: Geology ,	9
,74269 	,National Certificate: Occupational Health, Safety and Environment ,	2
,78964 	,Further Education and Training Certificate: Information Technology: Technical Support ,	4
,80946	,National Certificate: Community Development 	,5
,83946 	,National Certificate: Management 	,3
,93993 	,National Certificate: Labour Relations Practice ,	5
,93997 	,National Certificate: Contact Centre and Business Process Outsourcing Support ,3
,110095	,Interpret the composition, construction sequence and processes of the construction industry ,3
,49552	,General Education and Training Certificate: Environmental Practice NQF Level 1,
,49554	,National Diploma: Public Finance Management and Administration NQF Level 5,
,49752	,National Certificate: Environmental Practice NQF Level 03 ,
,67467	,National Certificate: Municipal Governance Level 5,
,67465	,National Certificate: Business Administration Services NQF Level 03 ,
,48965	,Certificate: Municipal Financial Management Level 6 ,
,83946	,National Certificate: Management NQF Level 03 ,
,64650	,National Diploma: Early Childhood Development NQF Level 05 ,
,50265	,National Certificate: Family Law Practice Level 5 ,
,254187	,Demonstrate basic interpersonal skills with children and youth at risk, and their families ,
,36438	,National Certificate: Local Economic Development ,
,242819	,Motivate and Build a Team NQF Level 04 ,
,50205	,National Certificate: Municipal Integrated Development Planning Level 5 ,
,24173	,National Certificate: Construction: Roadworks NQF Level 03 ,
,64650	,National Diploma: Early Childhood Development NQF Level 05 ,
,50060	,National Certificate: Public Administration Level 5 ,
,58978	,National Certificate: Journalism Level 5,
,114062	,Assemble a server computer and peripherals from modules  Level 5,
,58394	,National Certificate: Film and Television Production Level 5 ,
